station_id,name,lat,lon
45199,Salmon Unlimited Wisconsin,42.702,-87.647
45200,Maumee Bay Buoy,41.724,-83.37
45201,Erie Islands Buoy,41.601,-82.781
45202,Port Clinton Buoy,41.532,-82.941
45203,Huron Buoy,41.393,-82.512
45204,Sheffield Buoy,41.508,-82.115
45205,Edgewater Beach Buoy,41.501,-81.748
45206,Euclid Beach Buoy,41.585,-81.583
45207,Mentor Harbor Buoy,41.731,-81.367
45208,Ashtabula Buoy,41.913,-80.807
45209,"Lakeport Buoy, MI",43.129,-82.391
45210,"Rawley Point East, WI (269)",44.055,-87.05
45211,"Grand Island North, MI (268)",46.973,-86.568
45212,North Huron Spotter,45.351,-82.84
45213,East Superior Spotter,47.588,-86.588
